model,group_axis,group,recall
expanded_hgb_main,sex,female,0.29772571786235014
expanded_hgb_main,sex,male,0.2506666571372513
expanded_hgb_main,sex,max_minus_min,0.047059060725098856
expanded_hgb_main,immigration_background,native,0.26841212520457286
expanded_hgb_main,immigration_background,immigrant,0.31475473990987246
expanded_hgb_main,immigration_background,max_minus_min,0.0463426147052996
expanded_hgb_main,escs_weighted_tertile,low,0.30918769230931725
expanded_hgb_main,escs_weighted_tertile,middle,0.2615844156339236
expanded_hgb_main,escs_weighted_tertile,high,0.27309917437119446
expanded_hgb_main,escs_weighted_tertile,max_minus_min,0.04760327667539366
expanded_audit_logit,sex,female,0.36473507272909117
expanded_audit_logit,sex,male,0.10989667072134039
expanded_audit_logit,sex,max_minus_min,0.25483840200775076
expanded_audit_logit,immigration_background,native,0.22762366134207776
expanded_audit_logit,immigration_background,immigrant,0.4078561289878209
expanded_audit_logit,immigration_background,max_minus_min,0.18023246764574316
expanded_audit_logit,escs_weighted_tertile,low,0.3647931673257106
expanded_audit_logit,escs_weighted_tertile,middle,0.22458065272224886
expanded_audit_logit,escs_weighted_tertile,high,0.1885123107247686
expanded_audit_logit,escs_weighted_tertile,max_minus_min,0.176280856600942
expanded_audit_hgb,sex,female,0.3751487465435757
expanded_audit_hgb,sex,male,0.14566949600840215
expanded_audit_hgb,sex,max_minus_min,0.22947925053517357
expanded_audit_hgb,immigration_background,native,0.27161822340846425
expanded_audit_hgb,immigration_background,immigrant,0.36092324188751873
expanded_audit_hgb,immigration_background,max_minus_min,0.08930501847905448
expanded_audit_hgb,escs_weighted_tertile,low,0.35270274463449713
expanded_audit_hgb,escs_weighted_tertile,middle,0.27108388861792043
expanded_audit_hgb,escs_weighted_tertile,high,0.22939529198196218
expanded_audit_hgb,escs_weighted_tertile,max_minus_min,0.12330745265253495
