model,reference,metric,bootstrap_mean_delta,ci_2.5,ci_97.5
routine_plus_belong_logit,routine_logit,weighted_average_precision,0.054747927056675194,0.04549507861552543,0.06470442671822361
routine_plus_belong_logit,routine_logit,recall_at_10pct_capacity,0.04413790415682928,0.029304189842126082,0.060080351475803734
routine_plus_belong_logit,routine_logit,precision_at_10pct_capacity,0.06436825483898768,0.04300119476670691,0.08686032288276349
routine_plus_bullied_logit,routine_logit,weighted_average_precision,0.06860651372885833,0.056102552978682746,0.08122288188192732
routine_plus_bullied_logit,routine_logit,recall_at_10pct_capacity,0.07191678449808026,0.05539150477517082,0.0891833964799936
routine_plus_bullied_logit,routine_logit,precision_at_10pct_capacity,0.1049138180292978,0.08127524989134237,0.1302826567432428
routine_plus_teachsup_logit,routine_logit,weighted_average_precision,0.008339226825826265,0.0035389961284871658,0.013074042865800004
routine_plus_teachsup_logit,routine_logit,recall_at_10pct_capacity,0.0077089021578072865,-0.003553556423842409,0.019443147177607346
routine_plus_teachsup_logit,routine_logit,precision_at_10pct_capacity,0.011259564437243965,-0.005027271073047014,0.028554484590416995
experiences_only_logit,routine_logit,weighted_average_precision,0.09899504193863183,0.08229139945767582,0.11478194853993798
experiences_only_logit,routine_logit,recall_at_10pct_capacity,0.09437904849738842,0.07286109028458353,0.11541850502986771
experiences_only_logit,routine_logit,precision_at_10pct_capacity,0.13764811957664516,0.10638459940204861,0.16925734370487922
expanded_logit,routine_logit,weighted_average_precision,0.10414933781678888,0.09025809816508032,0.11724634277778956
expanded_logit,routine_logit,recall_at_10pct_capacity,0.10342197647941066,0.08454900455998071,0.12169728586606922
expanded_logit,routine_logit,precision_at_10pct_capacity,0.15083049453684724,0.1252418185303725,0.17878669248771656
expanded_logit,experiences_only_logit,weighted_average_precision,0.0051542958781570555,-0.0012167196637596785,0.010961881291994624
expanded_logit,experiences_only_logit,recall_at_10pct_capacity,0.00904292798202225,-0.003269292838221993,0.020576304123896428
expanded_logit,experiences_only_logit,precision_at_10pct_capacity,0.013182374960202086,-0.00466973433129674,0.030143485276743393
expanded_altbully_logit,routine_logit,weighted_average_precision,0.09086406550796351,0.07768732560136699,0.10296833030787705
expanded_altbully_logit,routine_logit,recall_at_10pct_capacity,0.07493994239784679,0.05710969314168975,0.09280115225869998
expanded_altbully_logit,routine_logit,precision_at_10pct_capacity,0.10928982199228256,0.08364168757657052,0.1344072186144089
expanded_altbully_logit,expanded_logit,weighted_average_precision,-0.013285272308825355,-0.017270118869159294,-0.009232968409513048
expanded_altbully_logit,expanded_logit,recall_at_10pct_capacity,-0.028482034081563874,-0.03732214588528259,-0.020590373529918934
expanded_altbully_logit,expanded_logit,precision_at_10pct_capacity,-0.041540672544564686,-0.05411703952321694,-0.03003859973799826
expanded_hgb_no_earlystop,expanded_hgb,weighted_average_precision,-0.0006557086329547828,-0.005888104821775297,0.004967135092199438
expanded_hgb_no_earlystop,expanded_hgb,recall_at_10pct_capacity,-3.944228358262425e-05,-0.007724177408200558,0.007281787126409327
expanded_hgb_no_earlystop,expanded_hgb,precision_at_10pct_capacity,-5.2973140297494944e-05,-0.011233264349762583,0.010677391195069746
