model,metric,estimate,brr_se,ci_lower,ci_upper
routine_logit,weighted_average_precision,0.19968719409216784,0.007802284655699319,0.18439471616699718,0.2149796720173385
routine_logit,recall_at_10pct_capacity,0.16295458838094906,0.008167299138767023,0.1469466820689657,0.17896249469293243
routine_logit,precision_at_10pct_capacity,0.23753127140444513,0.013085413796006843,0.21188386036427173,0.26317868244461856
routine_logit,selected_weight_fraction,0.09999999999999999,1.199445567108931e-16,0.09999999999999976,0.10000000000000023
expanded_logit,weighted_average_precision,0.30341680359226025,0.009501904486249544,0.2847930707992111,0.3220405363853094
expanded_logit,recall_at_10pct_capacity,0.26537315919045984,0.00723872544907665,0.2511852573102696,0.2795610610706501
expanded_logit,precision_at_10pct_capacity,0.38682202523665415,0.01175389974684217,0.3637843817328435,0.4098596687404648
expanded_logit,selected_weight_fraction,0.10000000000000013,3.9035826774889514e-16,0.09999999999999937,0.1000000000000009
expanded_hgb,weighted_average_precision,0.32887827551473353,0.009295901657510671,0.3106583082660126,0.34709824276345447
expanded_hgb,recall_at_10pct_capacity,0.28094462841968787,0.007398840773585134,0.26644290050346103,0.2954463563359147
expanded_hgb,precision_at_10pct_capacity,0.40951982663275327,0.012506349358215244,0.38500738189065137,0.43403227137485517
expanded_hgb,selected_weight_fraction,0.09999999999999991,4.742164167934042e-16,0.09999999999999898,0.10000000000000084
routine_plus_belong_logit,weighted_average_precision,0.2543973232783181,0.007774709462874926,0.23915889273108323,0.26963575382555294
routine_plus_belong_logit,recall_at_10pct_capacity,0.2056873487312644,0.008803068448457973,0.18843333457228678,0.22294136289024202
routine_plus_belong_logit,precision_at_10pct_capacity,0.2998208147519604,0.014028894391524842,0.2723241817445717,0.32731744775934907
routine_plus_belong_logit,selected_weight_fraction,0.10000000000000049,8.673672890857633e-16,0.09999999999999878,0.1000000000000022
routine_plus_bullied_logit,weighted_average_precision,0.2678957781434213,0.009504344703644906,0.24926726252427728,0.28652429376256533
routine_plus_bullied_logit,recall_at_10pct_capacity,0.23228273058334806,0.007491400032027541,0.21759958652057407,0.24696587464612205
routine_plus_bullied_logit,precision_at_10pct_capacity,0.33858765726666185,0.013515944618088032,0.3120964058152093,0.3650789087181144
routine_plus_bullied_logit,selected_weight_fraction,0.10000000000000021,3.0813689532136643e-16,0.0999999999999996,0.10000000000000082
routine_plus_teachsup_logit,weighted_average_precision,0.20801832132075235,0.007822817239403135,0.1926855995315222,0.2233510431099825
routine_plus_teachsup_logit,recall_at_10pct_capacity,0.1697031940924777,0.007528119823537935,0.15494807923834333,0.18445830894661205
routine_plus_teachsup_logit,precision_at_10pct_capacity,0.24736839787503734,0.012980137139508987,0.22192732908159973,0.27280946666847494
routine_plus_teachsup_logit,selected_weight_fraction,0.10000000000000002,1.9738683536384535e-16,0.09999999999999963,0.10000000000000041
experiences_only_logit,weighted_average_precision,0.2983571349766336,0.008975636537555813,0.2807648873630242,0.31594938259024297
experiences_only_logit,recall_at_10pct_capacity,0.2572525574689378,0.007845562464975711,0.24187525503758545,0.2726298599002902
experiences_only_logit,precision_at_10pct_capacity,0.37498500444057214,0.013597200084599621,0.3483344922747569,0.4016355166063874
experiences_only_logit,selected_weight_fraction,0.10000000000000016,3.3472522240597206e-16,0.0999999999999995,0.10000000000000081
expanded_altbully_logit,weighted_average_precision,0.2903101417069509,0.008902998164475403,0.27286026530457913,0.3077600181093227
expanded_altbully_logit,recall_at_10pct_capacity,0.23760750125356608,0.00704877125263111,0.2237919095984091,0.25142309290872306
expanded_altbully_logit,precision_at_10pct_capacity,0.3463493260837262,0.011690963407831712,0.32343503780437605,0.36926361436307636
expanded_altbully_logit,selected_weight_fraction,0.10000000000000024,3.266443309152217e-16,0.0999999999999996,0.10000000000000088
expanded_hgb_no_earlystop,weighted_average_precision,0.3282603805831544,0.009565675769724431,0.3095116560744945,0.34700910509181426
expanded_hgb_no_earlystop,recall_at_10pct_capacity,0.28171845620330904,0.0071528862519326455,0.26769879914952105,0.29573811325709704
expanded_hgb_no_earlystop,precision_at_10pct_capacity,0.4106477991502371,0.013456641612997406,0.38427278158876216,0.437022816711712
expanded_hgb_no_earlystop,selected_weight_fraction,0.09999999999999995,2.7752105951809417e-16,0.09999999999999941,0.10000000000000049
