region,students,schools,low_life_satisfaction_cases,weighted_prevalence,recall,recall_brr_se,recall_ci_lower,recall_ci_upper,calibration_intercept,intercept_brr_se,intercept_ci_lower,intercept_ci_upper,calibration_slope,slope_brr_se,slope_ci_lower,slope_ci_upper
Andalucía,1632,53,229,0.14525764758628684,0.24538126945167454,0.02190964096469333,0.20243837316087562,0.2883241657424735,-0.13214249031287267,0.16889308842470147,-0.46317294362528755,0.1988879629995422,0.9213150301707169,0.09070301743237222,0.7435371160032673,1.0990929443381665
Aragón,1393,45,183,0.13393413220945374,0.2894985834210653,0.025888499510746628,0.23875712438000193,0.3402400424621287,0.21406531330859735,0.18088854679374794,-0.14047623840714862,0.5686068650243433,1.16835910316625,0.09848916185786619,0.9753203459248322,1.3613978604076675
Asturias,1687,53,240,0.1453318157024315,0.28277488707451415,0.025812509224646833,0.23218236899420636,0.33336740515482194,0.16060405471933742,0.1577818705926895,-0.148648411642334,0.46985652108100884,1.0398416658001801,0.09413107607620042,0.8553447566908273,1.224338574909533
Baleares,1546,53,185,0.12181045227358567,0.28967852215943773,0.031988934419576315,0.22698021069706814,0.35237683362180733,-0.17782126270597273,0.13894065171980174,-0.4501449400767842,0.09450241466483869,1.0386931579186847,0.08743561248500559,0.8673193574480738,1.2100669583892956
Canarias,1478,54,252,0.17190796929891455,0.27609061088191916,0.02583316632309364,0.22545760488865563,0.3267236168751827,0.17925320677196405,0.18998529099013392,-0.19311796356869843,0.5516243771126266,1.0666793398664414,0.11504498895302537,0.8411911615185117,1.292167518214371
Cantabria,1653,52,253,0.1557120978917798,0.26930309421800025,0.023264317856412718,0.22370503121943133,0.3149011572165692,0.2599808987237338,0.18519008284819247,-0.10299166365872342,0.6229534611061911,1.051669323631831,0.09964048433371386,0.8563739743377519,1.2469646729259103
Castilla - La Mancha,1513,53,229,0.15435313159757238,0.2552102082264231,0.025060745691197265,0.20609114667167647,0.30432926978116975,0.01839498517240771,0.1631393982661189,-0.3013582354291853,0.33814820577400073,0.9212719650219752,0.08338311033148295,0.7578410687722685,1.0847028612716818
Castilla y León,1696,55,186,0.11189787463709054,0.3145656743767916,0.028160572626298362,0.2593709520292468,0.3697603967243364,-0.3234219464160299,0.15397818782899553,-0.6252191945608612,-0.021624698271198672,0.92789655468395,0.09371604018750826,0.7442131159164338,1.1115799934514663
Cataluña,1526,51,202,0.1320915711420154,0.23595939862864262,0.027733854819349937,0.18160104318271675,0.2903177540745685,-0.5155395033560789,0.10583560366299899,-0.7229772865355569,-0.30810172017660087,0.8796682616624331,0.07189940002060911,0.7387454376220393,1.0205910857028269
Ceuta,340,12,49,0.1602099367879011,0.26451246305039117,0.06130943208575354,0.14434597616231423,0.3846789499384681,0.10073288171860398,0.40087260257661667,-0.6849774193315648,0.8864431827687727,1.091204497792326,0.21927466558237638,0.6614261532508684,1.5209828423337837
Comunidad Valenciana,1596,53,267,0.16762050918742502,0.2765320349612582,0.02180173626542889,0.2338006318810176,0.3192634380414988,0.2780362887917792,0.1681149792386695,-0.051469070516013016,0.6075416480995715,1.0336824029800176,0.08696856150235284,0.863224022435406,1.2041407835246292
Extremadura,1646,54,186,0.11548050095597517,0.21026642330802786,0.0280660239333788,0.1552570163986054,0.2652758302174503,-0.5840331559710528,0.15795841245389772,-0.8936316443806922,-0.27443466756141327,0.7491361765287694,0.07443571182035907,0.6032421813608656,0.8950301716966732
Galicia,1752,58,293,0.17179822309700202,0.26550152258942383,0.018523683468043617,0.22919510299205834,0.3018079421867893,0.2614406394998669,0.1504638030546169,-0.03346841448718224,0.5563496934869161,1.0533513024633139,0.08663298231439823,0.8835506571270934,1.2231519477995345
La Rioja,1366,47,166,0.1208221436487346,0.2602225316475029,0.03507998190291633,0.1914657671177869,0.32897929617721894,-0.06100266113997084,0.25881116901449375,-0.5682725524083786,0.4462672301284369,1.0215612719185194,0.12245955931897555,0.7815405356533274,1.2615820081837115
Madrid,2035,62,318,0.15779798886730753,0.274399116044997,0.02512181540550538,0.22516035785020647,0.32363787423978757,0.41290260485088,0.1353733274669656,0.14757088301562743,0.6782343266861326,1.099126949608963,0.07760506350235602,0.9470210251443453,1.251232874073581
Melilla,247,10,46,0.17188497345922976,0.2409703734840347,0.07033054290777978,0.10312250938478632,0.37881823758328304,-0.6093056433862094,0.4617041176337087,-1.5142457139482786,0.29563442717585964,0.5710617324209485,0.27030457370715166,0.04126476795493128,1.1008586968869656
Murcia,1604,52,238,0.15582566896340327,0.28176646778671044,0.024953557696777623,0.2328574947010263,0.3306754408723946,0.26525032570839896,0.17911344900201048,-0.08581203433554158,0.6163126857523396,1.0947526129938725,0.10643683664096572,0.8861364131775797,1.3033688128101653
Navarra,1761,53,196,0.11541166527039916,0.2737954108518794,0.03230528003496119,0.21047706198335547,0.33711375972040336,-0.1836928621380881,0.1905593590575514,-0.5571892058908888,0.1898034816147126,0.9993841118908736,0.09757087855727038,0.8081451899186236,1.1906230338631236
País Vasco,3117,95,339,0.1121177327833601,0.315138249898369,0.019458452533485153,0.27699968293273813,0.3532768168639999,0.007176396999105222,0.16951955045852057,-0.3250819218995951,0.33943471589780555,1.2103367838481645,0.08533909833010155,1.0430721511211654,1.3776014165751636
