group,bin,n,mean_predicted,predicted_ci_lower,predicted_ci_upper,observed_rate,observed_ci_lower,observed_ci_upper
female,1,2034,0.04036994004880628,0.039685332023146114,0.04105454807446644,0.05957511314501382,0.04494497536154053,0.07420525092848711
female,2,2044,0.06615570611956817,0.06581082972790266,0.06650058251123368,0.06675041883037673,0.05174816852811648,0.08175266913263698
female,3,1825,0.08611544075488574,0.0857938965968027,0.08643698491296878,0.10828676941877789,0.08727217517343325,0.12930136366412254
female,4,1895,0.10708811006820543,0.10660090322028717,0.10757531691612368,0.1262289231844345,0.1073153328785903,0.14514251349027868
female,5,1830,0.1374596660552918,0.13683072945273916,0.13808860265784445,0.17564000504428817,0.15436023920892905,0.1969197708796473
female,6,1728,0.17562335051231415,0.17486060722228042,0.17638609380234788,0.22041834554660078,0.1914665925272913,0.24937009856591025
female,7,1693,0.22967408699747513,0.2284499481509252,0.23089822584402506,0.2957228323874481,0.2614269983887937,0.33001866638610255
female,8,1614,0.3620336318564602,0.3555956196922424,0.368471644020678,0.45848696394668215,0.42273659614294523,0.49423733175041906
male,1,2030,0.03438579985313311,0.033859132108788735,0.03491246759747748,0.02362136009397474,0.014140197961123336,0.033102522226826143
male,2,1946,0.05902319794224989,0.05872399802011868,0.0593223978643811,0.0433196271958386,0.03000219603272296,0.056637058358954245
male,3,1897,0.07703557821613007,0.07671162089682312,0.07735953553543701,0.06811213344583535,0.04961292461037517,0.08661134228129552
male,4,1908,0.09725786082623394,0.09689229294271254,0.09762342870975535,0.07173992539835179,0.0509289277209736,0.09255092307572999
male,5,1900,0.12324940885814613,0.1227708880434423,0.12372792967284996,0.08411767556227827,0.06723061353468933,0.10100473758986721
male,6,1806,0.1594582277616338,0.15873302909978695,0.16018342642348063,0.1137241609624729,0.09194120399200217,0.13550711793294362
male,7,1761,0.21595477703482488,0.2144661045656631,0.21744344950398667,0.15829483089760044,0.13711824565785874,0.17947141613734213
male,8,1677,0.3584512880534086,0.35190463860683463,0.36499793749998255,0.2629043847424309,0.23561435130394182,0.29019441818091996
