population,cell,weighted_share,brr_se,ci_lower,ci_upper
all_students,both,0.0362642350701232,0.0011509593984341,0.0340083546491924,0.0385201154910541
all_students,routine_only,0.0637357649298767,0.001150959398434,0.0614798845089459,0.0659916453508075
all_students,expanded_only,0.0637357649298768,0.0011509593984341,0.0614798845089459,0.0659916453508077
all_students,neither,0.8362642350701233,0.001150959398434,0.8340083546491925,0.838520115491054
all_students,union,0.1637357649298768,0.0011509593984341,0.161479884508946,0.1659916453508076
low_life_satisfaction,both,0.0971123494807293,0.0070120379882657,0.0833687550237285,0.1108559439377301
low_life_satisfaction,routine_only,0.0658422389002197,0.0053930988098519,0.0552717652329099,0.0764127125675295
low_life_satisfaction,expanded_only,0.1682608097097305,0.0086512595776182,0.1513043409375987,0.1852172784818623
low_life_satisfaction,neither,0.6687846019093204,0.0078830754384317,0.6533337740499942,0.6842354297686467
low_life_satisfaction,union,0.3312153980906796,0.0078830754384318,0.3157645702313533,0.3466662259500059
low_life_satisfaction,routine_covered_displaced_fraction,0.40405268458164695,0.028260519540447795,0.3486620662823693,0.4594433028809246
