model,reference,metric,full_sample_delta,bootstrap_mean_delta,bootstrap_ci_lower,bootstrap_ci_upper
routine_plus_belong_logit,routine_logit,weighted_average_precision,0.054710129186150286,0.0547479270566751,0.0454950786155254,0.0647044267182236
routine_plus_belong_logit,routine_logit,recall_at_10pct_capacity,0.042732760350315396,0.0441379041568292,0.029304189842126,0.0600803514758037
routine_plus_belong_logit,routine_logit,precision_at_10pct_capacity,0.06228954334751527,0.0643682548389876,0.0430011947667069,0.0868603228827634
routine_plus_bullied_logit,routine_logit,weighted_average_precision,0.06820858405125349,0.0686065137288583,0.0561025529786827,0.0812228818819273
routine_plus_bullied_logit,routine_logit,recall_at_10pct_capacity,0.069328142202399,0.0719167844980802,0.0553915047751708,0.0891833964799936
routine_plus_bullied_logit,routine_logit,precision_at_10pct_capacity,0.10105638586221669,0.1049138180292978,0.0812752498913423,0.1302826567432428
routine_plus_teachsup_logit,routine_logit,weighted_average_precision,0.008331127228584478,0.0083392268258262,0.0035389961284871,0.0130740428658
routine_plus_teachsup_logit,routine_logit,recall_at_10pct_capacity,0.006748605711528688,0.0077089021578072,-0.0035535564238424,0.0194431471776073
routine_plus_teachsup_logit,routine_logit,precision_at_10pct_capacity,0.009837126470592206,0.0112595644372439,-0.005027271073047,0.0285544845904169
experiences_only_logit,routine_logit,weighted_average_precision,0.09866994088446576,0.0989950419386318,0.0822913994576758,0.1147819485399379
experiences_only_logit,routine_logit,recall_at_10pct_capacity,0.09429796908798882,0.0943790484973884,0.0728610902845835,0.1154185050298677
experiences_only_logit,routine_logit,precision_at_10pct_capacity,0.13745373303612698,0.1376481195766451,0.1063845994020486,0.1692573437048792
expanded_logit,routine_logit,weighted_average_precision,0.10372960950009238,0.1041493378167888,0.0902580981650803,0.1172463427777895
expanded_logit,routine_logit,recall_at_10pct_capacity,0.10241857080951078,0.1034219764794106,0.0845490045599807,0.1216972858660692
expanded_logit,routine_logit,precision_at_10pct_capacity,0.149290753832209,0.1508304945368472,0.1252418185303725,0.1787866924877165
expanded_logit,experiences_only_logit,weighted_average_precision,0.005059668615626622,0.005154295878157,-0.0012167196637596,0.0109618812919946
expanded_logit,experiences_only_logit,recall_at_10pct_capacity,0.008120601721521958,0.0090429279820222,-0.0032692928382219,0.0205763041238964
expanded_logit,experiences_only_logit,precision_at_10pct_capacity,0.01183702079608201,0.013182374960202,-0.0046697343312967,0.0301434852767433
expanded_altbully_logit,routine_logit,weighted_average_precision,0.0906229476147831,0.0908640655079635,0.0776873256013669,0.102968330307877
expanded_altbully_logit,routine_logit,recall_at_10pct_capacity,0.074652912872617,0.0749399423978467,0.0571096931416897,0.0928011522586999
expanded_altbully_logit,routine_logit,precision_at_10pct_capacity,0.1088180546792811,0.1092898219922825,0.0836416875765705,0.1344072186144089
expanded_altbully_logit,expanded_logit,weighted_average_precision,-0.01310666188530929,-0.0132852723088253,-0.0172701188691592,-0.009232968409513
expanded_altbully_logit,expanded_logit,recall_at_10pct_capacity,-0.027765657936893784,-0.0284820340815638,-0.0373221458852825,-0.0205903735299189
expanded_altbully_logit,expanded_logit,precision_at_10pct_capacity,-0.04047269915292789,-0.0415406725445646,-0.0541170395232169,-0.0300385997379982
expanded_hgb_no_earlystop,expanded_hgb,weighted_average_precision,-0.0006178949315790994,-0.0006557086329547,-0.0058881048217752,0.0049671350921994
expanded_hgb_no_earlystop,expanded_hgb,recall_at_10pct_capacity,0.0007738277836211727,-3.944228358262425e-05,-0.0077241774082005,0.0072817871264093
expanded_hgb_no_earlystop,expanded_hgb,precision_at_10pct_capacity,0.0011279725174838662,-5.2973140297494944e-05,-0.0112332643497625,0.0106773911950697
