group,variable,label,unit,estimate,ci_lower,ci_upper,valid_weight_share_within_group
routine_visible,ST016Q01NA,Life satisfaction (0-4),mean,2.3237025669286613,2.1444163873052497,2.4903118930298183,1.0
routine_visible,BELONG,Sense of belonging,mean,-0.2911051894473592,-0.4209784757095201,-0.12185611059782436,0.933700927351164
routine_visible,BULLIED,Exposure to bullying,mean,0.4633832353774691,0.32581075213880667,0.6080241497060221,0.948610933937833
routine_visible,TEACHSUP,Mathematics teacher support,mean,-0.2544895234652213,-0.40524602075623756,-0.10198241417311153,0.8840541170175297
routine_visible,ESCS,"Economic, social and cultural status",mean,-0.5506206464009508,-0.6904096301588145,-0.4204545340465935,0.9580469807777475
routine_visible,female,Female,proportion,0.595538743909922,0.5430999534063867,0.6476059893208971,1.0
routine_visible,immigrant,First- or second-generation immigrant,proportion,0.23772661736951178,0.18413565915429791,0.2903627023351924,0.8852593551613109
routine_visible,repeated_grade,Repeated a grade,proportion,0.6898493599453889,0.6310079426644688,0.7431300723186663,0.9405565052116314
routine_visible,any_whole_day_absence,Any whole-day absence in previous two weeks,proportion,0.9244538121225852,0.8946595645939858,0.9513531848812845,0.8944135699637574
routine_visible,any_class_skipping,Any class skipping in previous two weeks,proportion,0.8108488204378441,0.7537081412957942,0.862356326730967,0.8970272341470776
routine_visible,any_tardiness,Any tardiness in previous two weeks,proportion,0.9137591019471268,0.8834509427003124,0.9435540346518464,0.9170317344730139
student_experience_only,ST016Q01NA,Life satisfaction (0-4),mean,2.3348333309543317,2.1854332923893875,2.4778119253465505,1.0
student_experience_only,BELONG,Sense of belonging,mean,-1.119980875223142,-1.1834710045906132,-1.0477072864708374,0.9882098940011345
student_experience_only,BULLIED,Exposure to bullying,mean,1.2954653047896547,1.2318067738189618,1.3592120663165659,0.9896670894867926
student_experience_only,TEACHSUP,Mathematics teacher support,mean,-0.5384407744375391,-0.6621381666550267,-0.4132043550007992,0.931942716661232
student_experience_only,ESCS,"Economic, social and cultural status",mean,-0.31672171538246846,-0.45705122274005205,-0.19132802421628323,0.9956511477312754
student_experience_only,female,Female,proportion,0.6856432860413788,0.6323520457120072,0.7333696627357787,1.0
student_experience_only,immigrant,First- or second-generation immigrant,proportion,0.25940074525097423,0.21105660075289198,0.3081053524229828,0.957339817363015
student_experience_only,repeated_grade,Repeated a grade,proportion,0.3201859360859133,0.2697149964947642,0.37662524178260404,1.0
student_experience_only,any_whole_day_absence,Any whole-day absence in previous two weeks,proportion,0.3531440447700931,0.3036688774862466,0.40799736320455515,0.9894186745780231
student_experience_only,any_class_skipping,Any class skipping in previous two weeks,proportion,0.39139651823352095,0.33968630715059706,0.4427594434605765,0.9729110956259996
student_experience_only,any_tardiness,Any tardiness in previous two weeks,proportion,0.4955881494694855,0.4413843548835196,0.5497158238304404,0.9799386753530469
missed_by_both,ST016Q01NA,Life satisfaction (0-4),mean,2.891072509724327,2.8274678550294614,2.9527198104710353,1.0
missed_by_both,BELONG,Sense of belonging,mean,-0.06364812218669165,-0.1109153948121747,-0.013989746286222446,0.9871617266640713
missed_by_both,BULLIED,Exposure to bullying,mean,-0.2508516870413189,-0.2981144041009322,-0.20540484403284262,0.9877188648600707
missed_by_both,TEACHSUP,Mathematics teacher support,mean,0.020309232341469637,-0.049559929892244614,0.09213843913502914,0.9674850218400092
missed_by_both,ESCS,"Economic, social and cultural status",mean,-0.13529645681847738,-0.20878122305504235,-0.0696888385291998,0.9887879066421206
missed_by_both,female,Female,proportion,0.6444391514758422,0.6193855763328808,0.6673332139375374,1.0
missed_by_both,immigrant,First- or second-generation immigrant,proportion,0.19893025198010647,0.1773535321432911,0.22299567739773035,0.9675314500815435
missed_by_both,repeated_grade,Repeated a grade,proportion,0.19061965709236606,0.1653989631103917,0.21638007351629143,1.0
missed_by_both,any_whole_day_absence,Any whole-day absence in previous two weeks,proportion,0.25977508414442835,0.23485440384786765,0.28225826294727924,0.9865017336229764
missed_by_both,any_class_skipping,Any class skipping in previous two weeks,proportion,0.26518723544183953,0.23968464508507376,0.2903098830235667,0.9829565068620103
missed_by_both,any_tardiness,Any tardiness in previous two weeks,proportion,0.39213924274641515,0.3638638339719519,0.41852319910170527,0.9838175437066269
