model,metric,bootstrap_mean,ci_2.5,ci_97.5
expanded_hgb,auprc,0.32977572078752304,0.3098509199690975,0.3488500588841245
expanded_hgb,auroc,0.7355466773103273,0.7245128871607951,0.7468555502103967
expanded_hgb,brier,0.11180100634704851,0.1070933558677008,0.11643171698765298
expanded_hgb,recall_at_10pct_capacity,0.2817226194679565,0.26526884350805524,0.298687906612858
expanded_hgb,precision_at_10pct_capacity,0.41066909898390225,0.38357638939937466,0.4355694199492243
expanded_logit,auprc,0.3041443492912423,0.2853103909142703,0.3226457555165177
expanded_logit,auroc,0.719269049627447,0.7081817837917961,0.7304856303599527
expanded_logit,brier,0.1144415872513824,0.10967424201276554,0.11902964584663576
expanded_logit,recall_at_10pct_capacity,0.2659768229830904,0.25014077510191307,0.2818191794539576
expanded_logit,precision_at_10pct_capacity,0.3877022636048898,0.36163915834172145,0.41197624358709384
routine_hgb,auprc,0.19539527937555165,0.18233613913849456,0.20917417622493983
routine_hgb,auroc,0.5931267810974417,0.5802986826794312,0.6054182334518026
routine_hgb,brier,0.12283052082826995,0.11759362285672627,0.12780655961722845
routine_hgb,recall_at_10pct_capacity,0.15677350319951427,0.14302296700501338,0.17013907781640575
routine_hgb,precision_at_10pct_capacity,0.22852961467761665,0.20758032098858817,0.24921454764564607
routine_logit,auprc,0.20021140659350836,0.18636842456317437,0.21425880115948198
routine_logit,auroc,0.5994390441276407,0.585613207340359,0.6132936939776539
routine_logit,brier,0.12276462562719882,0.11749224851975668,0.1278147666420362
routine_logit,recall_at_10pct_capacity,0.1622073289119939,0.1481926732987557,0.17595081298344514
routine_logit,precision_at_10pct_capacity,0.23650170075642019,0.21343071606192998,0.2608186353568908
